상품번호,상품명_기본,자체상품코드,카테고리 코드,이미지 저장소,이미지 경로,페이스북 광고 제품 피드 이미지명
1000002722,프라다 레드 사피아노 럭스 투웨이 토트백,9537718,"003002003
003
003002
003002002",url,20/07/31/1000002722/,https://koodonkr.hgodo.com/reebonz_facebook_img/9537718.jpg
1000002723,생로랑 그레이 벨샤스 토트백,8998073,"003002003
003
003002
003002002",url,20/07/31/1000002723/,https://koodonkr.hgodo.com/reebonz_facebook_img/8998073.jpg
1000002724,끌로에 토프 드류 크로스백,9588348,"003002005
003
003002
003002002",url,20/07/31/1000002724/,https://koodonkr.hgodo.com/reebonz_facebook_img/9588348.jpg
1000002725,샤넬 블랙 시즌 숄더백,9588388,"003002002
003
003002
003002005",url,20/07/31/1000002725/,https://koodonkr.hgodo.com/reebonz_facebook_img/9588388.jpg
1000002726,메종 마틴 마르지엘라 핑크 5AC 미니 체인 토트백,9544473,"003002003
003
003002
003002002",url,20/07/31/1000002726/,https://koodonkr.hgodo.com/reebonz_facebook_img/9544473.jpg
1000002727,샤넬 핑크 WOC 숄더백,9543946,"003002002
003
003002
003002005",url,20/07/31/1000002727/,https://koodonkr.hgodo.com/reebonz_facebook_img/9543946.jpg
1000002728,페레가모 베이지 장지갑,9589903,"007001
007",url,20/07/31/1000002728/,https://koodonkr.hgodo.com/reebonz_facebook_img/9589903.jpg
1000002729,버버리 더스티 블루 트렌치 코트,9544031,"003001001
003
003001",url,20/08/32/1000002729/,https://koodonkr.hgodo.com/reebonz_facebook_img/9544031.jpg
1000002731,버버리 체크 셔츠 원피스,9597164,"003001003
003
003001",url,20/08/32/1000002731/,https://koodonkr.hgodo.com/reebonz_facebook_img/9597164.jpg
1000002732,무스 너클 블랙 롱 패딩,9597581,"003001001
003
003001",url,20/08/32/1000002732/,https://koodonkr.hgodo.com/reebonz_facebook_img/9597581.jpg
1000002733,끌로에 파라티 토트백,8880351,"003002003
003
003002
003002002",url,20/08/32/1000002733/,https://koodonkr.hgodo.com/reebonz_facebook_img/8880351.jpg
1000002734,고야드 네이비 벨베데르 숄더백,9542825,"003002002
003
003002
003002005",url,20/08/32/1000002734/,https://koodonkr.hgodo.com/reebonz_facebook_img/9542825.jpg
1000002735,셀린느 그레이 카바스 토트백,9603187,"003002003
003
003002
003002002",url,20/08/32/1000002735/,https://koodonkr.hgodo.com/reebonz_facebook_img/9603187.jpg
1000002736,발렌시아가 블랙 빌 데이 크로스백,9609137,"003002005
003
003002
003002002",url,20/08/32/1000002736/,https://koodonkr.hgodo.com/reebonz_facebook_img/9609137.jpg
1000002737,샤넬 펀칭 슈즈,9588402,"003003002
003
003003",url,20/08/32/1000002737/,https://koodonkr.hgodo.com/reebonz_facebook_img/9588402.jpg
1000002738,프라다 블랙 반지갑,9588501,"007001
007",url,20/08/32/1000002738/,https://koodonkr.hgodo.com/reebonz_facebook_img/9588501.jpg
1000002739,구찌 브라운 시그니처 카드홀더,9533992,"007001
007",url,20/08/32/1000002739/,https://koodonkr.hgodo.com/reebonz_facebook_img/9533992.jpg
1000002741,버버리 네이비 퀼티드 패딩 자켓,9593167,"003001001
003
003001",url,20/08/32/1000002741/,https://koodonkr.hgodo.com/reebonz_facebook_img/9593167.jpg
1000002742,버버리 베이지 트렌치 코트,9604947,"003001001
003
003001",url,20/08/32/1000002742/,https://koodonkr.hgodo.com/reebonz_facebook_img/9604947.jpg
1000002744,멀버리 브라운 베이스워터 토트백,8864267,"003002003
003
003002
003002002",url,20/08/32/1000002744/,https://koodonkr.hgodo.com/reebonz_facebook_img/8864267.jpg
1000002745,멀버리 블랙 크로스백,9542828,"003002005
003
003002
003002002",url,20/08/32/1000002745/,
1000002746,골든 구스 양털 무스탕 롱 자켓,9623765,"003001001
003
003001",url,20/08/32/1000002746/,https://koodonkr.hgodo.com/reebonz_facebook_img/9623765.jpg
1000002747,버버리 플라워 레이스 트렌치 코트,9623756,"003001001
003
003001",url,20/08/32/1000002747/,https://koodonkr.hgodo.com/reebonz_facebook_img/9623756.jpg
1000002748,아크네 얄라 후드 긴팔 티셔츠,9603165,"002001005
002
002001",url,20/08/32/1000002748/,https://koodonkr.hgodo.com/reebonz_facebook_img/9603165.jpg
1000002749,아크네 V넥 울 니트,9596706,"003001005
003
003001",url,20/08/32/1000002749/,https://koodonkr.hgodo.com/reebonz_facebook_img/9596706.jpg
1000002750,골든 구스 골드 글리터 슈퍼스타 스니커즈,9624255,"003003001
003
003003",url,20/08/32/1000002750/,https://koodonkr.hgodo.com/reebonz_facebook_img/9624255.jpg
1000002751,구찌 화이트 에이스 스터드 스니커즈,9623767,"003003001
003
003003",url,20/08/32/1000002751/,https://koodonkr.hgodo.com/reebonz_facebook_img/9623767.jpg
1000002752,구찌 화이트 에이스 크리스탈 플랫폼 스니커즈,9623992,"003003001
003
003003",url,20/08/32/1000002752/,https://koodonkr.hgodo.com/reebonz_facebook_img/9623992.jpg
1000002753,구찌 화이트 플랫폼 스니커즈,9624240,"003003001
003
003003",url,20/08/32/1000002753/,https://koodonkr.hgodo.com/reebonz_facebook_img/9624240.jpg
1000002754,샤넬 블랙 캐비어 클래식 더블 플랩 체인 숄더백,9619529,"003002002
003
003002
003002005",url,20/08/32/1000002754/,https://koodonkr.hgodo.com/reebonz_facebook_img/9619529.jpg
1000002755,루이비통 블랙 카프 에삐 반지갑,9623618,"007001
007",url,20/08/32/1000002755/,https://koodonkr.hgodo.com/reebonz_facebook_img/9623618.jpg
1000002756,구찌 체리 GG 수프림 반지갑,9593521,"007001
007",url,20/08/32/1000002756/,https://koodonkr.hgodo.com/reebonz_facebook_img/9593521.jpg
1000002757,프라다 나일론 로고 파우치,9529996,"002002006
002
002002
002002004",url,20/08/32/1000002757/,https://koodonkr.hgodo.com/reebonz_facebook_img/9529996.jpg
1000002758,알라이아 레드 레이저컷 토트백,9642718,"003002003
003
003002
003002002",url,20/08/32/1000002758/,https://koodonkr.hgodo.com/reebonz_facebook_img/9642718.jpg
1000002759,페레가모 레드 플랫 슈즈,9592845,"003003007
003
003003",url,20/08/32/1000002759/,https://koodonkr.hgodo.com/reebonz_facebook_img/9592845_thum.jpg
1000002760,펜디 화이트 에프 로고 플랫폼 슬리퍼 샌들,9623748,"003003004
003
003003",url,20/08/32/1000002760/,https://koodonkr.hgodo.com/reebonz_facebook_img/9623748.jpg
1000002761,펜디 웨이브 라피아 뮬,9623755,"003003002
003
003003
003003004",url,20/08/32/1000002761/,https://koodonkr.hgodo.com/reebonz_facebook_img/9623755.jpg
1000002763,프라다 비텔로 다이노 토트 겸 숄더백 (BN2878),20300030,"003002003
003
003002
003002002",url,20/08/32/1000002763/,https://koodonkr.hgodo.com/uploads/product_meta_info/2/03/20300030/f.jpg
1000002764,프라다 퍼 패딩,10100037,"003001001
003
003001",url,20/08/32/1000002764/,https://koodonkr.hgodo.com/uploads/product_meta_info/1/01/10100037/f.jpg
1000002766,구찌 GG 마이크로시마 반지갑 (260987),90100027,"007001
007",url,20/08/32/1000002766/,
1000002767,루이비통 모노그램 스니커즈,9609878,"003003001
003
003003",url,20/08/32/1000002767/,https://koodonkr.hgodo.com/reebonz_facebook_img/9609878.jpg
1000002768,루이비통 모노그램 하이탑 스니커즈,9609780,"003003001
003
003003",url,20/08/32/1000002768/,https://koodonkr.hgodo.com/reebonz_facebook_img/9609780.jpg
1000002770,프라다 블랙 나일론 구스 다운 패딩,9604678,"003001001
003
003001",url,20/08/32/1000002770/,https://koodonkr.hgodo.com/reebonz_facebook_img/9604678.jpg
1000002771,발렌티노 블랙 카모플라쥬 클러치,8870411,"002002004
002
002002",url,20/08/32/1000002771/,https://koodonkr.hgodo.com/reebonz_facebook_img/8870411.jpg
